url,timestamp,status,cmp_vendor,initial_banner_found,accept_all_present,reject_all_present,settings_button_present,settings_button_text,preference_center_accessed,total_purposes_count,pre_ticked_non_essential_count,strictly_necessary_count,purposes_json,legal_text_summary,error_log
https://www.tudublin.ie/,2025-06-16T03:32:16.201727,Partial (Interaction Failed),Unknown,TRUE,FALSE,FALSE,FALSE,,FALSE,0,0,0,[],,['No button with positive settings keywords found.']
https://www.supervalu.ie/,2025-06-16T03:32:22.178245,Partial (Interaction Failed),Unknown,TRUE,TRUE,TRUE,FALSE,,FALSE,0,0,0,[],,['No button with positive settings keywords found.']
https://www.tesco.ie/,2025-06-16T03:32:27.102163,Failed,Unknown,FALSE,FALSE,FALSE,FALSE,,FALSE,0,0,0,[],,['Analysis failed: TimeoutException']
https://www.lidl.ie/,2025-06-16T03:32:43.068683,Success,Unknown,TRUE,TRUE,TRUE,TRUE,CUSTOMISE,TRUE,4,0,0,"[{""title"": ""Title Not Found"", ""description"": """", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Preferences"", ""description"": """", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Statistics"", ""description"": """", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Marketing"", ""description"": """", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}]",,[]
https://www.aldi.ie/,2025-06-16T03:32:54.922675,Partial (Interaction Failed),Unknown,TRUE,TRUE,TRUE,FALSE,,FALSE,0,0,0,[],,['No button with positive settings keywords found.']
https://www.dunnesstores.com/,2025-06-16T03:32:59.861356,Partial (Interaction Failed),Unknown,TRUE,FALSE,FALSE,FALSE,,FALSE,0,0,0,[],,['No button with positive settings keywords found.']
https://www.brownthomas.com/,2025-06-16T03:33:05.626805,Partial (Interaction Failed),Unknown,TRUE,FALSE,TRUE,FALSE,,FALSE,0,0,0,[],,['No button with positive settings keywords found.']
https://www.arnotts.ie/,2025-06-16T03:33:12.089028,Partial (Interaction Failed),Unknown,TRUE,FALSE,TRUE,FALSE,,FALSE,0,0,0,[],,['No button with positive settings keywords found.']
https://www.elverys.ie/,2025-06-16T03:33:18.187402,Partial (Interaction Failed),Unknown,TRUE,TRUE,TRUE,FALSE,,FALSE,0,0,0,[],,['No button with positive settings keywords found.']
https://www.lifestylesports.com/ie/,2025-06-16T03:33:25.199485,Partial (Interaction Failed),Unknown,TRUE,FALSE,FALSE,FALSE,,FALSE,0,0,0,[],,['No button with positive settings keywords found.']
https://www.musgrave.ie/,2025-06-16T03:33:31.831391,Partial (Interaction Failed),Unknown,TRUE,FALSE,TRUE,FALSE,,FALSE,0,0,0,[],,['No button with positive settings keywords found.']
https://www.carphonewarehouse.ie/,2025-06-16T03:33:38.829019,Failed,Unknown,FALSE,FALSE,FALSE,FALSE,,FALSE,0,0,0,[],,['Critical error: WebDriverException']
https://www.currys.ie/,2025-06-16T03:34:21.215030,Partial (Interaction Failed),Unknown,TRUE,FALSE,FALSE,FALSE,,FALSE,0,0,0,[],,['No buttons found in banner.']
https://www.harveynorman.ie/,2025-06-16T03:34:58.940833,Partial (Interaction Failed),Unknown,TRUE,FALSE,FALSE,FALSE,,FALSE,0,0,0,[],,['No button with positive settings keywords found.']
https://www.donegalcoco.ie/,2025-06-16T03:35:05.636597,Partial (Interaction Failed),Unknown,TRUE,FALSE,FALSE,FALSE,,FALSE,0,0,0,[],,['No button with positive settings keywords found.']
https://www.corkcity.ie/,2025-06-16T03:35:11.282050,Partial (Interaction Failed),Unknown,TRUE,FALSE,FALSE,FALSE,,FALSE,0,0,0,[],,['No button with positive settings keywords found.']
https://www.welfare.ie/,2025-06-16T03:35:16.939889,Partial (Interaction Failed),Unknown,TRUE,TRUE,FALSE,FALSE,,FALSE,0,0,0,[],This website uses cookies to collect information about how you use this site. This information is used to make the website work as well as possible. More details available in our cookie and privacy policies.,['No button with positive settings keywords found.']
https://www.spunout.ie/,2025-06-16T03:35:22.065461,Pending,Unknown,TRUE,FALSE,FALSE,TRUE,,TRUE,0,0,0,[],,['No purpose containers found after interaction.']
